age_collapsed,role,utterance_len,NOUN,VERB,ADJ,ADV,ADP,AUX,PRON,CCONJ,SCONJ,PROPN,PER,mean_utt_len,NOUN_freq,VERB_freq,ADJ_freq,ADV_freq,ADP_freq,AUX_freq,PRON_freq,CCONJ_freq,SCONJ_freq,PROPN_freq,PER_freq
1;05,child,1854.0,638.0,272.0,36.0,94.0,50.0,14.0,98.0,0.0,16.0,334.0,130.0,1.154,3441.208,1467.098,194.175,507.012,269.687,75.512,528.587,0.0,86.3,1801.51,701.187
1;05,child-directed,12204.0,1884.0,1778.0,284.0,416.0,570.0,1522.0,2390.0,118.0,254.0,904.0,658.0,3.734,1543.756,1456.899,232.711,340.872,467.06,1247.132,1958.374,96.69,208.128,740.741,539.167
1;06,child,2880.0,706.0,396.0,186.0,194.0,54.0,58.0,252.0,8.0,22.0,614.0,272.0,1.259,2451.389,1375.0,645.833,673.611,187.5,201.389,875.0,27.778,76.389,2131.944,944.444
1;06,child-directed,19546.0,2764.0,2894.0,710.0,918.0,1014.0,1958.0,3998.0,402.0,366.0,1492.0,896.0,3.744,1414.1,1480.61,363.246,469.661,518.776,1001.739,2045.431,205.669,187.251,763.328,458.406
1;07,child,2282.0,540.0,292.0,64.0,126.0,84.0,86.0,248.0,8.0,20.0,412.0,144.0,1.55,2366.345,1279.579,280.456,552.147,368.098,376.862,1086.766,35.057,87.642,1805.434,631.025
1;07,child-directed,14822.0,1948.0,2298.0,562.0,860.0,838.0,1380.0,2872.0,248.0,298.0,1024.0,584.0,3.911,1314.263,1550.398,379.166,580.219,565.376,931.048,1937.66,167.319,201.052,690.865,394.009
1;08,child,824.0,190.0,172.0,18.0,36.0,14.0,36.0,116.0,6.0,10.0,88.0,34.0,1.953,2305.825,2087.379,218.447,436.893,169.903,436.893,1407.767,72.816,121.359,1067.961,412.621
1;08,child-directed,2918.0,454.0,454.0,102.0,140.0,134.0,272.0,582.0,34.0,58.0,186.0,104.0,3.912,1555.86,1555.86,349.554,479.781,459.219,932.145,1994.517,116.518,198.766,637.423,356.408
1;09,child,1774.0,418.0,340.0,62.0,190.0,70.0,70.0,298.0,2.0,12.0,110.0,44.0,1.949,2356.257,1916.573,349.493,1071.026,394.589,394.589,1679.82,11.274,67.644,620.068,248.027
1;09,child-directed,4290.0,592.0,586.0,156.0,312.0,196.0,496.0,868.0,68.0,72.0,248.0,140.0,4.281,1379.953,1365.967,363.636,727.273,456.876,1156.177,2023.31,158.508,167.832,578.089,326.34
1;10,child,3146.0,670.0,368.0,110.0,276.0,154.0,148.0,576.0,6.0,46.0,348.0,124.0,1.879,2129.688,1169.739,349.65,877.305,489.51,470.439,1830.896,19.072,146.217,1106.167,394.151
1;10,child-directed,11298.0,1460.0,1798.0,392.0,624.0,652.0,1236.0,2398.0,180.0,210.0,576.0,410.0,3.987,1292.264,1591.432,346.964,552.31,577.093,1093.999,2122.5,159.32,185.874,509.825,362.896
1;11,child,4860.0,880.0,844.0,172.0,278.0,152.0,298.0,1016.0,44.0,78.0,434.0,152.0,2.343,1810.7,1736.626,353.909,572.016,312.757,613.169,2090.535,90.535,160.494,893.004,312.757
1;11,child-directed,13864.0,1680.0,2114.0,494.0,770.0,722.0,1476.0,3006.0,286.0,294.0,802.0,548.0,4.266,1211.771,1524.812,356.319,555.395,520.773,1064.628,2168.205,206.29,212.06,578.477,395.268
2;00,child,1618.0,322.0,278.0,54.0,132.0,44.0,46.0,394.0,2.0,8.0,126.0,64.0,2.247,1990.111,1718.171,333.745,815.822,271.941,284.302,2435.105,12.361,49.444,778.739,395.55
2;00,child-directed,4046.0,540.0,654.0,138.0,134.0,184.0,458.0,942.0,56.0,50.0,222.0,158.0,4.038,1334.652,1616.411,341.078,331.191,454.77,1131.982,2328.225,138.408,123.579,548.69,390.509
2;01,child,3562.0,588.0,582.0,120.0,196.0,90.0,224.0,768.0,18.0,80.0,314.0,108.0,2.215,1650.758,1633.914,336.889,550.253,252.667,628.86,2156.092,50.533,224.593,881.527,303.2
2;01,child-directed,12156.0,1732.0,1844.0,510.0,594.0,546.0,1100.0,2588.0,256.0,242.0,814.0,412.0,3.787,1424.811,1516.946,419.546,488.648,449.161,904.903,2128.99,210.596,199.079,669.628,338.927
2;02,child,7563.0,1394.0,1066.0,258.0,443.0,337.0,433.0,1679.0,53.0,131.0,519.0,196.0,2.396,1843.184,1409.494,341.134,585.746,445.59,572.524,2220.019,70.078,173.212,686.236,259.156
